Name,Year,Type
"Pietro Trevisan",1241,stans
"Pietro Trevisan",1251,stans
"Pietro Trevisan",1255,stans
"Pietro Trevisan",1255,stans
"Pietro Trevisan",1257,stans
"Pietro Trevisan",1260,stans
"Pietro Venier",1170,stans
"Pietro Venier",1239,stans
"Pietro Viaro",1255,stans
"Pietro Viaro",1255,stans
"Pietro Viaro",1313,tractor
"Pietro Viaro",1313,tractor
"Pietro Viaro",1313,tractor
"Pietro Vitaliano",1217,tractor
"Pietro Ziani",1190,stans
"Pietro Ziani",1201,stans
"Pietro Ziani",1223,stans
"Pietro Zorzi",1197,stans
"Pietro da Ferraguto",1206,tractor
"Pietro da Ferraguto",1206,tractor
"Pietro da Vicenza",1236,tractor
"Pietro di Guazo",1205,stans
"Pietro, & Simeone Signolo",1188,tractor
"Prodano Da Mula",1185,tractor
"Prodano Dandolo",1234,stans
"Profeta Da Molin",1184,stans
"Protasio Venier",1222,stans
"Radovan Rachovich",1312,tractor
"Ratolica Giustinian",1138,stans
"Redolica Gradenigo",1255,stans
"Rinaldo Longo",1227,tractor
"Rinaldo Longo",1228,tractor
"Rinaldo Longo",1228,tractor
"Rinaldo Rosso",1234,stans
"Rinaldo de Ranerio",1234,stans
"Riniero Trevisan",1260,tractor
"Ripaldo Morosini",1083,stans
"Rodolfo de Stolla",1312,stans
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Rodolfo de Suligo",1234,tractor
"Romano Marano",1154,tractor
"Romano Marano",1155,tractor
"Romano Marano",1156,tractor
"Romano Marano",1161,tractor
"Romano Marano",1167,stans
"Romano Marano",1167,stans
"Samuele Marano",1159,tractor
"Santuccio Marin",1323,stans
"Sebastiano Ragusio",1238,tractor
"Sevasto Orefice",1073,stans
"Sidiana Marin",1230,stans
"Silvestro Tebaldo",1209,stans
"Simeone Bredani",1227,stans
"Simone Veglia",1234,stans
"Simone di Burges",1253,tractor
"Sofia Ghisi",1316,stans
"Sparvere Canal",1195,stans
"Stadio Venier",1242,stans
"Stefano Bendolo",1246,tractor
"Stefano Calbo",1235,tractor
"Stefano Encio",1209,stans
"Stefano Mazaman",1156,stans
"Stefano Venier",1249,tractor
"Stefano Venier",1261,tractor
"Stefano di Bruges",1239,tractor
"Tibaldino de Galletto",1246,stans
"Tomasso Faccio",1214,tractor
"Tomasso Faccio",1214,tractor
"Tommasina Gradenigo",1225,stans
"Tommasino Giustinian",1316,stans
"Tommaso Bon",1221,tractor
"Tommaso Bon",1221,tractor
"Tommaso Falier",1231,tractor
"Tommaso Falier",1231,tractor
"Tommaso Falier",1231,tractor
"Tommaso Gradenigo",1220,stans
"Tommaso Gradenigo",1225,stans
"Tommaso Marin",1257,tractor
"Tommaso Tron",1323,tractor
"Tommaso Viaro",1197,tractor
"Tommaso Viaro",1198,tractor
"Tommaso Viaro",1198,tractor
"Tommaso Viaro",1198,tractor
"Tommaso Viaro",1199,tractor
"Tommaso Viaro",1201,tractor
"Tommaso Viaro",1201,tractor
"Tommaso Viaro",1202,tractor
"Tommaso Viaro",1202,tractor
"Tommaso Viaro",1202,tractor
"Tommaso Viaro",1204,tractor
"Tommaso Viaro",1204,tractor
"Tommaso Viaro",1205,tractor
"Tommaso Viaro",1205,tractor
"Tommaso Viaro",1205,tractor
"Tommaso Viaro",1207,tractor
"Tommaso Viaro",1209,tractor
"Tommaso Viaro",1209,tractor
"Tommaso Viaro",1212,tractor
"Tommaso Zopolo",1311,tractor
"Ugo Urso",1138,stans
"Ugolino Bocca d'Uomo",1205,tractor
"Ugolino Lombardo",1238,tractor
"Ugolino Ruzier",1243,tractor
"Valperto Gussoni",1154,stans
"Vettore Trevisan",1256,tractor
"Vitale Gritti",1211,stans
"Vitale Mastrorso",1231,stans
"Vitale Voltani",1170,stans
"Vitale Voltani",1172,stans
"Vitale Voltani",1186,stans
"Vitale Voltani",1198,stans
"Viticlino Bon",1172,tractor
"Vito Bon",1234,stans
"Vito Canal",1312,stans
"Vivaldo da Mantova",1222,stans
"Viviano Da Molin",1118,tractor
"Viviano Da Molin",1130,tractor
"Viviano Miani",1243,tractor
"Zaccaria Nani",1238,stans
"Zaccaria Staniario",1199,tractor
"Zaccaria Staniario",1200,tractor
"Zaccaria Staniario",1206,tractor
"Zaccaria Staniario",1206,stans
"Zaccaria Staniario",1206,stans
"Zaccaria Staniario",1210,tractor
"Zambonino de Rodanis da Cremona",1312,stans
"Zanino Morosini",1325,tractor
"Zanino Morosini",1338,stans
"Zanino Morosini",1340,stans
"Ziani Badoer",1322,stans
"Zorzi Balestrieri",1250,stans
"Zorzi Katarino",1255,tractor
"wife of tractor Tron",1323,stans
